species,file,site,node,count,px_cm,include,base_x,base_y,tip_x,tip_y
appendiculata,LAPPEAC21017-1_4_5,LAPPEAC21017,4,5,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21017-1_5_5,LAPPEAC21017,5,5,get scale from original image (check Svea's redo of Jaret's work),,,,,
cardinalis,LCARDAC23236-2-1_1_30,LCARDAC23236 (2),1,30,118,,,,,
cardinalis,LCARDAC23236-2-1_2_30,LCARDAC23236 (2),2,30,118,,,,,
cardinalis,LCARDAC23236-2-1_3_30,LCARDAC23236 (2),3,30,118,,,,,
cardinalis,LCARDAC23236-2-1_4_30,LCARDAC23236 (2),4,30,118,,,,,
cardinalis,LCARDAC23236-2-1_5_30,LCARDAC23236 (2),5,30,118,,,,,
cardinalis,LCARDAC23236-2-1_6_30,LCARDAC23236 (2),6,30,118,,,,,
cardinalis,LCARDAC23236-2-1_7_30,LCARDAC23236 (2),7,30,118,,,,,
cardinalis,LCARDAC23236-2-1_8_30,LCARDAC23236 (2),8,30,118,,,,,
cardinalis,LCARDAC23236-2-1_9_30,LCARDAC23236 (2),9,30,118,,,,,
cardinalis,LCARDAC23236-2-1_10_30,LCARDAC23236 (2),10,30,118,,,,,
cardinalis,LCARDAC23236-2-1_11_30,LCARDAC23236 (2),11,30,118,,,,,
cardinalis,LCARDAC23236-2-1_12_30,LCARDAC23236 (2),12,30,118,,,,,
cardinalis,LCARDAC23236-2-1_13_30,LCARDAC23236 (2),13,30,118,,,,,
cardinalis,LCARDAC23236-2-1_14_30,LCARDAC23236 (2),14,30,118,,,,,
cardinalis,LCARDAC23236-2-1_15_30,LCARDAC23236 (2),15,30,118,,,,,
cardinalis,LCARDAC23236-2-1_16_30,LCARDAC23236 (2),16,30,118,,,,,
cardinalis,LCARDAC23236-2-1_17_30,LCARDAC23236 (2),17,30,118,,,,,
cardinalis,LCARDAC23236-2-1_18_30,LCARDAC23236 (2),18,30,118,,,,,
cardinalis,LCARDAC23236-2-1_19_30,LCARDAC23236 (2),19,30,118,,,,,
cardinalis,LCARDAC23236-2-1_20_30,LCARDAC23236 (2),20,30,118,,,,,
cardinalis,LCARDAC23236-2-1_21_30,LCARDAC23236 (2),21,30,118,,,,,
cardinalis,LCARDAC23236-2-1_22_30,LCARDAC23236 (2),22,30,118,,,,,
cardinalis,LCARDAC23236-2-1_23_30,LCARDAC23236 (2),23,30,118,,,,,
cardinalis,LCARDAC23236-2-1_24_30,LCARDAC23236 (2),24,30,118,,,,,
cardinalis,LCARDAC23236-2-1_25_30,LCARDAC23236 (2),25,30,118,,,,,
cardinalis,LCARDAC23236-2-1_26_30,LCARDAC23236 (2),26,30,118,,,,,
cardinalis,LCARDAC23236-2-1_27_30,LCARDAC23236 (2),27,30,118,,,,,
cardinalis,LCARDAC23236-2-1_28_30,LCARDAC23236 (2),28,30,118,,,,,
cardinalis,LCARDAC23236-2-1_29_30,LCARDAC23236 (2),29,30,118,,,,,
cardinalis,LCARDAC23236-2-1_30_30,LCARDAC23236 (2),30,30,118,,,,,
cardinalis,LCARDAC23236-2-2_1_13,LCARDAC23236 (2),1,13,116,,,,,
cardinalis,LCARDAC23236-2-2_2_13,LCARDAC23236 (2),2,13,116,,,,,
cardinalis,LCARDAC23236-2-2_3_13,LCARDAC23236 (2),3,13,116,,,,,
cardinalis,LCARDAC23236-2-2_4_13,LCARDAC23236 (2),4,13,116,,,,,
cardinalis,LCARDAC23236-2-2_5_13,LCARDAC23236 (2),5,13,116,,,,,
cardinalis,LCARDAC23236-2-2_6_13,LCARDAC23236 (2),6,13,116,,,,,
cardinalis,LCARDAC23236-2-2_7_13,LCARDAC23236 (2),7,13,116,,,,,
cardinalis,LCARDAC23236-2-2_8_13,LCARDAC23236 (2),8,13,116,,,,,
cardinalis,LCARDAC23236-2-2_9_13,LCARDAC23236 (2),9,13,116,,,,,
cardinalis,LCARDAC23236-2-2_10_13,LCARDAC23236 (2),10,13,116,,,,,
cardinalis,LCARDAC23236-2-2_11_13,LCARDAC23236 (2),11,13,116,,,,,
cardinalis,LCARDAC23236-2-2_12_13,LCARDAC23236 (2),12,13,116,,,,,
cardinalis,LCARDAC23236-2-2_13_13,LCARDAC23236 (2),13,13,116,,,,,
cardinalis,LCARDAC23236-2-3_1_23,LCARDAC23236 (2),1,23,115,,,,,
cardinalis,LCARDAC23236-2-3_2_23,LCARDAC23236 (2),2,23,115,,,,,
cardinalis,LCARDAC23236-2-3_3_23,LCARDAC23236 (2),3,23,115,,,,,
cardinalis,LCARDAC23236-2-3_4_23,LCARDAC23236 (2),4,23,115,,,,,
cardinalis,LCARDAC23236-2-3_5_23,LCARDAC23236 (2),5,23,115,,,,,
